Date,East River ,East River Weekly Average,East River Monthly Total,Rockaway,Rockaway Weekly Average,Rockaway Monthly Total,South Brooklyn,South Brooklyn Weekly Average,South Brooklyn Monthly Total,Astoria,Astoria Weekly Average,Astoria Monthly Total,Soundview,Soundview Weekly Average,Soundview Monthly Total,Lower East Side,Lower East Side Weekly Average,Lower East Side Monthly Total,Week  Subtotal,Monthly Subtotal,Year to Date
5/2017/Week1,27721,3960,27721,7640,1091,7640,,,,,,,,,,,,,,,
5/2017/Week2,35818,5117,63539,9856,1408,17496,,,,,,,,,,,,,,,
5/2017/Week3,56722,8103,120261,15090,2156,19005,,,,,,,,,,,,,,,
5/2017/Week4,47201,6743,167460,13857,1980,46443,,,,,,,,,,,,,,,
5/2017/Week5,16472,2353,183934,3711,530,50154,,,,,,,,,,,,,,,
6/2017/Week1,28206,4029,28206,8581,1226,8581,11439,1634,11439,n/a,,,,,,,,,,,
6/2017/Week2,53204,7601,81410,16921,2417,25502,17341,2477,28780,n/a,,,,,,,,,,,
6/2017/Week3,55292,7899,136702,16111,2302,33332,16569,2367,45349,n/a,,,,,,,,,,,
6/2017/Week4,59636,8519,196338,22221,3174,55553,20504,2929,65853,n/a,,,,,,,,,,,
6/2017/Week5,44755,6394,241093,16175,2311,71728,15949,2278,81802,n/a,,,,,,,,,,,
7/2017/Week1,16662,2380,16662,12721,1817,12721,9242,1320,9242,n/a,,,,,,,,,,,
7/2017/Week2,54314,7759,70976,38421,5489,51142,24425,3489,33667,n/a,,,,,,,,,,,
7/2017/Week3,59874,8553,130850,38159,5451,89301,21819,3117,55486,n/a,,,,,,,,,,,
7/2017/Week4,58080,8297,188930,41687,5955,130988,21015,3002,76501,n/a,,,,,,,,,,,
7/2017/Week5,56724,8103,245654,32964,4709,163952,21270,3039,97771,n/a,,,,,,,,,,,
7/2017/Week6,8929,1276,263143,5240,749,169192,2765,395,100536,n/a,,,,,,,,,,,
8/2017/Week1,55828,7975,55828,22907,3272,22907,19376,2768,19376,n/a,,,,,,,,,,,
8/2017/Week2,62622,8946,118450,25882,3697,48789,20912,2987,40288,n/a,,,,,,,,,,,
8/2017/Week3,60846,8692,179296,25641,3663,74430,20305,2901,60593,n/a,,,,,,,,,,,
8/2017/Week4,65110,9301,244406,23842,3406,98272,22956,3279,83549,n/a,,,,,,,,,,,
